[04:31:22] resnet20_relu    npu-default  n=    8 bal=0 seed=0 acc=0.9048 drop=-0.0001
[04:31:49] resnet20_relu    npu-default  n=    8 bal=0 seed=1 acc=0.9057 drop=-0.0010
[04:32:17] resnet20_relu    npu-default  n=    8 bal=0 seed=2 acc=0.9041 drop=+0.0006
[04:32:49] resnet20_relu    npu-default  n=   32 bal=0 seed=0 acc=0.9051 drop=-0.0004
[04:33:18] resnet20_relu    npu-default  n=   32 bal=0 seed=1 acc=0.9043 drop=+0.0004
[04:33:46] resnet20_relu    npu-default  n=   32 bal=0 seed=2 acc=0.9046 drop=+0.0001
[04:34:16] resnet20_relu    npu-default  n=   32 bal=1 seed=0 acc=0.9038 drop=+0.0009
[04:34:47] resnet20_relu    npu-default  n=   32 bal=1 seed=1 acc=0.9050 drop=-0.0003
[04:35:16] resnet20_relu    npu-default  n=   32 bal=1 seed=2 acc=0.9046 drop=+0.0001
[04:35:46] resnet20_relu    npu-default  n=  128 bal=0 seed=0 acc=0.9046 drop=+0.0001
[04:36:15] resnet20_relu    npu-default  n=  128 bal=0 seed=1 acc=0.9051 drop=-0.0004
[04:36:49] resnet20_relu    npu-default  n=  128 bal=0 seed=2 acc=0.9042 drop=+0.0005
[04:37:20] resnet20_relu    npu-default  n=  128 bal=1 seed=0 acc=0.9051 drop=-0.0004
[04:37:50] resnet20_relu    npu-default  n=  128 bal=1 seed=1 acc=0.9038 drop=+0.0009
[04:38:20] resnet20_relu    npu-default  n=  128 bal=1 seed=2 acc=0.9049 drop=-0.0002
[04:38:50] resnet20_relu    npu-default  n=  512 bal=0 seed=0 acc=0.9051 drop=-0.0004
[04:39:18] resnet20_relu    npu-default  n=  512 bal=0 seed=1 acc=0.9049 drop=-0.0002
[04:39:46] resnet20_relu    npu-default  n=  512 bal=0 seed=2 acc=0.9036 drop=+0.0011
[04:40:15] resnet20_relu    npu-default  n=  512 bal=1 seed=0 acc=0.9036 drop=+0.0011
[04:40:44] resnet20_relu    npu-default  n=  512 bal=1 seed=1 acc=0.9046 drop=+0.0001
[04:41:11] resnet20_relu    npu-default  n=  512 bal=1 seed=2 acc=0.9060 drop=-0.0013
[04:41:41] resnet20_relu    npu-default  n= 2048 bal=0 seed=0 acc=0.9057 drop=-0.0010
[04:42:08] resnet20_relu    npu-default  n= 2048 bal=0 seed=1 acc=0.9053 drop=-0.0006
[04:42:36] resnet20_relu    npu-default  n= 2048 bal=0 seed=2 acc=0.9035 drop=+0.0012
[04:43:03] resnet20_relu    npu-default  n= 2048 bal=1 seed=0 acc=0.9045 drop=+0.0002
[04:43:30] resnet20_relu    npu-default  n= 2048 bal=1 seed=1 acc=0.9041 drop=+0.0006
[04:43:57] resnet20_relu    npu-default  n= 2048 bal=1 seed=2 acc=0.9059 drop=-0.0012
[04:44:23] resnet20_relu    per-tensor   n=    8 bal=0 seed=0 acc=0.9057 drop=-0.0010
[04:44:48] resnet20_relu    per-tensor   n=    8 bal=0 seed=1 acc=0.9064 drop=-0.0017
[04:45:18] resnet20_relu    per-tensor   n=    8 bal=0 seed=2 acc=0.9054 drop=-0.0007
[04:45:43] resnet20_relu    per-tensor   n=   32 bal=0 seed=0 acc=0.9052 drop=-0.0005
[04:46:07] resnet20_relu    per-tensor   n=   32 bal=0 seed=1 acc=0.9057 drop=-0.0010
[04:46:33] resnet20_relu    per-tensor   n=   32 bal=0 seed=2 acc=0.9061 drop=-0.0014
[04:47:02] resnet20_relu    per-tensor   n=   32 bal=1 seed=0 acc=0.9056 drop=-0.0009
[04:47:29] resnet20_relu    per-tensor   n=   32 bal=1 seed=1 acc=0.9056 drop=-0.0009
[04:47:58] resnet20_relu    per-tensor   n=   32 bal=1 seed=2 acc=0.9056 drop=-0.0009
[04:48:28] resnet20_relu    per-tensor   n=  128 bal=0 seed=0 acc=0.9054 drop=-0.0007
[04:48:58] resnet20_relu    per-tensor   n=  128 bal=0 seed=1 acc=0.9060 drop=-0.0013
[04:49:29] resnet20_relu    per-tensor   n=  128 bal=0 seed=2 acc=0.9068 drop=-0.0021
[04:49:59] resnet20_relu    per-tensor   n=  128 bal=1 seed=0 acc=0.9060 drop=-0.0013
[04:50:30] resnet20_relu    per-tensor   n=  128 bal=1 seed=1 acc=0.9059 drop=-0.0012
[04:51:00] resnet20_relu    per-tensor   n=  128 bal=1 seed=2 acc=0.9064 drop=-0.0017
[04:51:29] resnet20_relu    per-tensor   n=  512 bal=0 seed=0 acc=0.9052 drop=-0.0005
[04:51:58] resnet20_relu    per-tensor   n=  512 bal=0 seed=1 acc=0.9046 drop=+0.0001
[04:52:28] resnet20_relu    per-tensor   n=  512 bal=0 seed=2 acc=0.9056 drop=-0.0009
[04:52:58] resnet20_relu    per-tensor   n=  512 bal=1 seed=0 acc=0.9053 drop=-0.0006
[04:53:32] resnet20_relu    per-tensor   n=  512 bal=1 seed=1 acc=0.9060 drop=-0.0013
[04:54:03] resnet20_relu    per-tensor   n=  512 bal=1 seed=2 acc=0.9054 drop=-0.0007
[04:54:35] resnet20_relu    per-tensor   n= 2048 bal=0 seed=0 acc=0.9054 drop=-0.0007
[04:55:05] resnet20_relu    per-tensor   n= 2048 bal=0 seed=1 acc=0.9061 drop=-0.0014
[04:55:38] resnet20_relu    per-tensor   n= 2048 bal=0 seed=2 acc=0.9050 drop=-0.0003
[04:56:09] resnet20_relu    per-tensor   n= 2048 bal=1 seed=0 acc=0.9059 drop=-0.0012
[04:56:38] resnet20_relu    per-tensor   n= 2048 bal=1 seed=1 acc=0.9056 drop=-0.0009
[04:57:07] resnet20_relu    per-tensor   n= 2048 bal=1 seed=2 acc=0.9061 drop=-0.0014
