"node","operator","path","simulated_cycles","macs","dram_bytes"
"softmax","softmax","host","131840","0","16384"
"blocks_0_act","act","host","131840","0","16384"
"softmax_1","softmax","host","131840","0","16384"
"blocks_1_act","act","host","131840","0","16384"
"softmax_2","softmax","host","131840","0","16384"
"blocks_2_act","act","host","131840","0","16384"
"softmax_3","softmax","host","131840","0","16384"
"blocks_3_act","act","host","131840","0","16384"
"softmax_4","softmax","host","131840","0","16384"
"blocks_4_act","act","host","131840","0","16384"
"softmax_5","softmax","host","131840","0","16384"
"blocks_5_act","act","host","131840","0","16384"
"blocks_0_norm1","layernorm","host","65920","0","8192"
"blocks_0_norm2","layernorm","host","65920","0","8192"
"blocks_1_norm1","layernorm","host","65920","0","8192"
"blocks_1_norm2","layernorm","host","65920","0","8192"
"blocks_2_norm1","layernorm","host","65920","0","8192"
"blocks_2_norm2","layernorm","host","65920","0","8192"
"blocks_3_norm1","layernorm","host","65920","0","8192"
"blocks_3_norm2","layernorm","host","65920","0","8192"
"blocks_4_norm1","layernorm","host","65920","0","8192"
"blocks_4_norm2","layernorm","host","65920","0","8192"
"blocks_5_norm1","layernorm","host","65920","0","8192"
"blocks_5_norm2","layernorm","host","65920","0","8192"
"norm","layernorm","host","65920","0","8192"
"blocks_0_fc2","linear","array","2328","2097152","49664"
"blocks_1_fc2","linear","array","2328","2097152","49664"
"blocks_2_fc2","linear","array","2328","2097152","49664"
"blocks_3_fc2","linear","array","2328","2097152","49664"
"blocks_4_fc2","linear","array","2328","2097152","49664"
"blocks_5_fc2","linear","array","2328","2097152","49664"
"blocks_0_fc1","linear","array","1968","2097152","41984"
"blocks_1_fc1","linear","array","1968","2097152","41984"
"blocks_2_fc1","linear","array","1968","2097152","41984"
"blocks_3_fc1","linear","array","1968","2097152","41984"
"blocks_4_fc1","linear","array","1968","2097152","41984"
"blocks_5_fc1","linear","array","1968","2097152","41984"
"blocks_0_attn_q","linear","array","1176","1048576","25088"
"blocks_0_attn_k","linear","array","1176","1048576","25088"
"blocks_0_attn_v","linear","array","1176","1048576","25088"
"blocks_1_attn_q","linear","array","1176","1048576","25088"
"blocks_1_attn_k","linear","array","1176","1048576","25088"
"blocks_1_attn_v","linear","array","1176","1048576","25088"
"blocks_2_attn_q","linear","array","1176","1048576","25088"
"blocks_2_attn_k","linear","array","1176","1048576","25088"
"blocks_2_attn_v","linear","array","1176","1048576","25088"
"blocks_3_attn_q","linear","array","1176","1048576","25088"
"blocks_3_attn_k","linear","array","1176","1048576","25088"
"blocks_3_attn_v","linear","array","1176","1048576","25088"
"blocks_4_attn_q","linear","array","1176","1048576","25088"
"blocks_4_attn_k","linear","array","1176","1048576","25088"
"blocks_4_attn_v","linear","array","1176","1048576","25088"
"blocks_5_attn_q","linear","array","1176","1048576","25088"
"blocks_5_attn_k","linear","array","1176","1048576","25088"
"blocks_5_attn_v","linear","array","1176","1048576","25088"
"matmul","matmul","array","888","524288","0"
"matmul_1","matmul","array","888","524288","16384"
"matmul_2","matmul","array","888","524288","0"
"matmul_3","matmul","array","888","524288","16384"
"matmul_4","matmul","array","888","524288","0"
"matmul_5","matmul","array","888","524288","16384"
"matmul_6","matmul","array","888","524288","0"
"matmul_7","matmul","array","888","524288","16384"
"matmul_8","matmul","array","888","524288","0"
"matmul_9","matmul","array","888","524288","16384"
"matmul_10","matmul","array","888","524288","0"
"matmul_11","matmul","array","888","524288","16384"
"blocks_0_attn_proj","linear","array","792","1048576","16896"
"blocks_1_attn_proj","linear","array","792","1048576","16896"
"blocks_2_attn_proj","linear","array","792","1048576","16896"
"blocks_3_attn_proj","linear","array","792","1048576","16896"
"blocks_4_attn_proj","linear","array","792","1048576","16896"
"blocks_5_attn_proj","linear","array","792","1048576","16896"
"patch_embed","conv","array","456","393216","9728"
"add","add","vector","384","0","8192"
"mean","pool","vector","384","0","8192"
"head","linear","array","382","1280","1320"
"add_1","add","vector","32","0","0"
"add_2","add","vector","32","0","0"
"add_3","add","vector","32","0","0"
"add_4","add","vector","32","0","0"
"add_5","add","vector","32","0","0"
"add_6","add","vector","32","0","0"
"add_7","add","vector","32","0","0"
"add_8","add","vector","32","0","0"
"add_9","add","vector","32","0","0"
"add_10","add","vector","32","0","0"
"add_11","add","vector","32","0","0"
"add_12","add","vector","32","0","0"
"transpose","transpose","vector","16","0","0"
"transpose_1","transpose","vector","16","0","0"
"transpose_2","transpose","vector","16","0","0"
"transpose_3","transpose","vector","16","0","0"
"transpose_4","transpose","vector","16","0","0"
"transpose_5","transpose","vector","16","0","0"
"transpose_6","transpose","vector","16","0","0"
"transpose_7","transpose","vector","16","0","0"
"transpose_8","transpose","vector","16","0","0"
"transpose_9","transpose","vector","16","0","0"
"transpose_10","transpose","vector","16","0","0"
"transpose_11","transpose","vector","16","0","0"
"transpose_12","transpose","vector","16","0","0"
"transpose_13","transpose","vector","16","0","0"
"transpose_14","transpose","vector","16","0","0"
"transpose_15","transpose","vector","16","0","0"
"transpose_16","transpose","vector","16","0","0"
"transpose_17","transpose","vector","16","0","0"
"transpose_18","transpose","vector","16","0","0"
"transpose_19","transpose","vector","16","0","0"
"transpose_20","transpose","vector","16","0","0"
"transpose_21","transpose","vector","16","0","0"
"transpose_22","transpose","vector","16","0","0"
"transpose_23","transpose","vector","16","0","0"
"transpose_24","transpose","vector","16","0","0"
"transpose_25","transpose","vector","16","0","0"
"transpose_26","transpose","vector","16","0","0"
"transpose_27","transpose","vector","16","0","0"
"transpose_28","transpose","vector","16","0","0"
"transpose_29","transpose","vector","16","0","0"
"transpose_30","transpose","vector","16","0","0"
"x","input","structural","0","0","0"
"flatten","reshape","structural","0","0","0"
"pos","const","structural","0","0","0"
"reshape","reshape","structural","0","0","0"
"reshape_1","reshape","structural","0","0","0"
"reshape_2","reshape","structural","0","0","0"
"mul","mul","structural","0","0","0"
"reshape_3","reshape","structural","0","0","0"
"reshape_4","reshape","structural","0","0","0"
"reshape_5","reshape","structural","0","0","0"
"reshape_6","reshape","structural","0","0","0"
"mul_1","mul","structural","0","0","0"
"reshape_7","reshape","structural","0","0","0"
"reshape_8","reshape","structural","0","0","0"
"reshape_9","reshape","structural","0","0","0"
"reshape_10","reshape","structural","0","0","0"
"mul_2","mul","structural","0","0","0"
"reshape_11","reshape","structural","0","0","0"
"reshape_12","reshape","structural","0","0","0"
"reshape_13","reshape","structural","0","0","0"
"reshape_14","reshape","structural","0","0","0"
"mul_3","mul","structural","0","0","0"
"reshape_15","reshape","structural","0","0","0"
"reshape_16","reshape","structural","0","0","0"
"reshape_17","reshape","structural","0","0","0"
"reshape_18","reshape","structural","0","0","0"
"mul_4","mul","structural","0","0","0"
"reshape_19","reshape","structural","0","0","0"
"reshape_20","reshape","structural","0","0","0"
"reshape_21","reshape","structural","0","0","0"
"reshape_22","reshape","structural","0","0","0"
"mul_5","mul","structural","0","0","0"
"reshape_23","reshape","structural","0","0","0"
"output","output","structural","0","0","0"
